,Tenure,MonthlyCharge
0,6.795512947,172.455519
1,1.156680997,242.632554
2,15.75414408,159.947583
3,17.08722662,119.95684
4,1.670971726,149.948316
5,7.000993555,185.007692
6,13.23677381,200.118516
7,4.26425515,114.950905
8,8.220686373,117.468591
9,3.422086139,162.482694
10,19.26726194,174.958118
11,10.52199781,149.962093
12,13.01149229,137.439154
13,16.87922024,184.971516
14,10.06019902,159.965581
15,13.87001293,177.65076
16,15.78214958,194.966286
17,2.303331273,202.682861
18,17.10995632,152.490739
19,12.80615845,149.944668
20,20.45390977,184.978458
21,2.415991977,127.495766
22,6.652298992,124.964303
23,8.543717478,149.948316
24,5.770390256,162.511928
25,4.157658837,92.455141
26,10.40566091,222.649979
27,1.392421597,139.981577
28,1.430386349,200.132293
29,5.425864884,257.651257
30,11.08287797,230.105118
31,3.586184954,147.489301
32,4.727388465,230.105118
33,20.89923386,174.958118
34,3.471329958,267.664655
35,5.478588204,162.483267
36,3.312991809,229.993134
37,7.161561527,140.00128
38,9.847563364,184.964681
39,16.04202196,147.473844
40,9.179779682,172.457857
41,3.002844144,107.481989
42,3.924254455,255.141716
43,18.55959629,192.456745
44,8.798394712,242.632554
45,10.377366,245.174977
46,22.25746016,184.964681
47,9.427146079,195.006206
48,7.760290062,104.962874
49,11.56938439,92.488023
50,3.343811019,184.979684
51,7.338869531,187.656013
52,5.486534225,149.962093
53,1.55278221,169.944668
54,12.07970325,160.00128
55,13.98666226,129.962093
56,9.563362997,114.950905
57,6.732948946,142.515576
58,15.72071086,220.14775
59,7.233605493,124.97808
60,2.871017037,164.964681
61,2.344875382,194.976769
62,7.960490246,152.455519
63,12.25062113,92.5018
64,9.634946079,127.488728
65,7.916533093,184.963371
66,4.471254161,265.146969
67,10.79028074,207.609354
68,12.24190682,152.462354
69,2.203859443,200.132293
70,23.92132231,212.655686
71,3.7311787,255.119794
72,7.980015371,134.950905
73,9.190009376,255.137219
74,2.378630018,214.966286
75,5.43464555,270.160419
76,1.092361222,200.165175
77,20.13981517,149.937833
78,24.64873861,240.114868
79,9.677739656,127.495766
80,9.82814183,187.609354
81,7.832238337,169.992756
82,19.45250317,192.456745
83,14.34766616,120.004928
84,2.257358355,195.006206
85,2.358129018,139.95684
86,4.650578623,114.983787
87,3.721772616,207.638588
88,3.76663012,187.609354
89,4.151256695,134.950905
90,2.188918771,192.470522
91,13.85488928,222.628057
92,3.273341151,162.468917
93,19.75096265,159.979358
94,18.38404445,184.979684
95,4.672610857,245.145743
96,6.796299371,124.97808
97,12.97632235,187.484705
98,20.31163945,162.500692
99,6.998814446,182.467607
100,14.46288204,222.660939
101,11.13472066,182.467607
102,2.542296644,220.161527
103,17.22596021,169.937833
104,22.79214163,204.963371
105,3.823689744,204.963371
106,10.77094687,245.128318
107,13.08671185,172.473314
108,14.76468813,172.456745
109,9.473091121,194.976769
110,5.197446331,137.439154
111,6.577552683,192.470522
112,3.174571918,159.951231
113,17.88002366,112.455141
114,13.12190056,174.961766
115,23.34617699,162.452604
116,6.311709178,137.483594
117,12.58298231,275.133571
118,7.120096363,127.442069
119,9.344886869,210.138
